16 16 4
<0>
_123456789ABCDEFG
0 0 D A 0 5 7 0 0 0 0 0 0 0 F 0
0 0 F 0 0 0 0 0 0 0 8 0 6 B 0 0
0 9 0 G 0 0 2 0 0 0 A D 8 0 0 C
0 0 0 5 F C 8 0 0 0 0 0 0 G 0 0
6 B 5 0 2 8 0 0 F G C 0 0 0 A 0
0 2 0 7 C 0 9 0 1 0 0 E 0 0 0 0
0 4 E 0 0 G 0 0 7 0 6 0 0 0 0 0
0 0 0 0 0 0 0 B 2 A 0 0 0 0 4 0
0 0 0 0 A D E 0 6 0 5 0 G 0 B 0
0 0 0 9 3 0 0 0 0 8 0 1 F 0 0 5
G 0 0 0 0 0 0 0 0 C 0 0 1 0 0 0
0 6 0 0 0 7 0 G 0 5 9 0 D 0 C E
0 E 0 2 B 0 G 0 0 0 0 0 0 0 0 4
F G 8 0 0 0 0 5 0 0 0 A 0 C 0 6
C 3 A 0 0 0 0 D 4 0 0 0 E F 0 9
0 7 0 0 4 A F 3 0 0 G 0 0 D 0 8
